a,b,k,d,ad,overlap_days,a_name,b_name
sse/880863,sse/880772,61,0.4228345187787575,0.4228345187787575,1038,sse/880863 昨日涨停,sse/880772 最近闪拉
sse/880836,sse/880723,95,0.4222186077782928,0.4222186077782928,907,sse/880836 配股股,sse/880723 发可转债
sse/880494,sse/880603,106,0.4219681494872535,0.4219681494872535,1086,sse/880494 互联网,sse/880603 新进指标股
sse/880884,sse/880677,82,0.4215086454702175,0.4215086454702175,731,sse/880884 最近异动,sse/880677 活跃可转债
sse/880884,sse/880817,92,-0.41847039002546127,0.41847039002546127,1820,sse/880884 最近异动,sse/880817 商誉减值
sse/880867,sse/880790,102,0.41742805118004805,0.41742805118004805,1648,sse/880867 昨高换手,sse/880790 高负债率
sse/880867,sse/880781,104,0.41691749443995485,0.41691749443995485,1678,sse/880867 昨高换手,sse/880781 QFII新进
sse/880843,sse/880752,66,0.4168877016558416,0.4168877016558416,843,sse/880843 业绩预降,sse/880752 昨曾跌停
sse/880387,sse/880812,113,-0.41677550992210033,0.41677550992210033,1974,sse/880387 家用电器,sse/880812 昨日连板
szse/399481,sse/880774,101,0.4159034053240804,0.4159034053240804,1723,szse/399481 企债指数,sse/880774 昨日首板
sse/880874,sse/880886,116,0.41535478512683843,0.41535478512683843,2128,sse/880874 昨曾涨停,sse/880886 昨日较强
sse/880807,sse/880756,82,0.41529113897305014,0.41529113897305014,1146,sse/880807 股东增持,sse/880756 机构吸筹
sse/880452,sse/880641,103,-0.41507472420026637,0.41507472420026637,670,sse/880452 电信运营,sse/880641 历史新低
sse/880851,sse/880082,83,-0.4118467252966739,0.4118467252966739,930,sse/880851 已高送转,sse/880082 板块趋势
sse/880751,sse/880082,71,-0.4115853462179631,0.4115853462179631,1047,sse/880751 昨日跌停,sse/880082 板块趋势
sse/880867,sse/880868,117,0.4110165115112833,0.4110165115112833,2389,sse/880867 昨高换手,sse/880868 高贝塔值
sse/880843,sse/880784,105,-0.41101548000413485,0.41101548000413485,1323,sse/880843 业绩预降,sse/880784 昨日较弱
sse/880827,sse/880812,117,-0.4102415376153052,0.4102415376153052,1974,sse/880827 高市净率,sse/880812 昨日连板
sse/880476,sse/880773,112,0.4099938365230667,0.4099938365230667,983,sse/880476 建筑,sse/880773 最近闪跌
