a,b,a_name,b_name,overlap_days,r0_raw_close,k_raw20,d_raw20,d_raw60max,r0_ret,k_ret_sig,d_ret_sig,k_ret60,d_ret60,h1_k,h1_d,h2_k,h2_d,half_stable,half_sign_consistent,p_bs,bs_pass,verdict
sse/880448,sse/880772,sse/880448 电器仪表,sse/880772 最近闪拉,1038,-0.691373555753992,20,0.1850863486252815,0.43825410708036117,0.038546104614806675,16,0.08039977715844215,43,0.09758629348876773,1,0.1208865063359075,16,0.14218306446585774,False,True,,False,rejected:not_stable_not_significant
sse/880473,sse/880792,sse/880473 保险,sse/880792 基金增仓,1589,0.22914172975812652,20,0.14561944525953935,0.4294682932141315,0.31768127417879,2,0.08036536926277842,2,0.08036536926277842,14,-0.09224209798210756,2,0.12693326463554502,False,False,,False,rejected:sign_flips_between_halves
sse/880893,sse/880756,sse/880893 送转超跌,sse/880756 机构吸筹,1146,0.560033455092343,20,0.2128018456324104,0.6095602068158317,0.6043704949108032,6,0.0802910373776437,6,0.0802910373776437,14,-0.12308088649941076,18,-0.06193505012847541,True,True,,False,rejected:half-stable
sse/880350,sse/880677,sse/880350 造纸,sse/880677 活跃可转债,731,0.04765668693269981,20,0.2256381194310066,0.5851833502763737,0.5989833953117428,7,0.0802569604828482,42,0.11518169651612298,5,0.15906584447020639,7,0.13482811847715112,True,True,,False,rejected:half-stable
sse/880845,sse/880735,sse/880845 高股息股,sse/880735 专精特新,1206,0.17667742423090768,20,0.13009645952457385,0.4142042820255918,0.14878694504508247,18,-0.08023419586383476,39,0.08687005306687282,1,-0.1688404936762667,17,0.11214903781426562,False,False,,False,rejected:sign_flips_between_halves
sse/880895,sse/880735,sse/880895 持续增长,sse/880735 专精特新,1206,0.3653019558910173,20,0.15418981290725503,0.4553248635886263,0.20212471986362945,3,0.08018498240913788,3,0.08018498240913788,17,-0.11733385504273341,3,0.11315269389015511,False,False,,False,rejected:sign_flips_between_halves
sse/880864,sse/880778,sse/880864 昨日振荡,sse/880778 次新预增,1486,-0.11496267074310389,20,0.15895997382937693,0.35455563751950286,0.1012222059024074,16,-0.08013366525662946,35,-0.1014274187873622,16,-0.166897036256627,12,0.08790713541308122,False,False,,False,rejected:sign_flips_between_halves
sse/880424,sse/880677,sse/880424 旅游,sse/880677 活跃可转债,731,-0.22267139651383275,20,0.2037698263094058,0.6690885879351521,0.39001316234532063,12,-0.07983153758252978,26,-0.13385982093921797,3,-0.10845276490586951,11,0.13823667591174832,False,False,,False,rejected:sign_flips_between_halves
sse/880823,sse/880603,sse/880823 微盘股,sse/880603 新进指标股,1086,0.4953407341650556,20,0.14833247239523845,0.4067053496426184,0.45509730307330937,2,-0.07975534875958917,22,-0.09780673563896691,2,-0.17840309721738706,16,0.10103564120963854,False,False,,False,rejected:sign_flips_between_halves
sse/880874,sse/880723,sse/880874 昨曾涨停,sse/880723 发可转债,1221,-0.14177715978973748,20,-0.26772811350933634,0.4950697625540597,0.013097381076369886,4,-0.07973870112454828,45,0.10468122944305097,10,-0.14044631075097885,1,-0.09590466473221304,False,True,,False,rejected:not_stable_not_significant
sse/880801,sse/880677,sse/880801 基金重仓,sse/880677 活跃可转债,731,-0.10086454312686961,20,0.22425929957539928,0.6060213675529788,0.5848479214990555,9,0.07968789934915033,34,0.0844633747132213,2,0.14226912988001095,14,-0.0740162676481548,False,False,,False,rejected:sign_flips_between_halves
sse/880874,sse/880792,sse/880874 昨曾涨停,sse/880792 基金增仓,1589,-0.11178221120846062,20,-0.2234462509091872,0.34273455309996037,0.02460310060007945,11,-0.0796711828586691,45,0.1095857949688131,2,-0.11885903217780355,11,-0.12228783085251384,False,True,,False,rejected:not_stable_not_significant
sse/880472,sse/880677,sse/880472 证券,sse/880677 活跃可转债,731,-0.2425547033883393,20,0.2041699390215855,0.5746408324898904,0.49867912203754067,9,0.07958674418576098,44,0.09258501576625672,2,0.18491062841929043,5,-0.09153047758301934,False,False,,False,rejected:sign_flips_between_halves
sse/880784,sse/880735,sse/880784 昨日较弱,sse/880735 专精特新,1203,-0.29156238176436755,20,0.12416653401181213,0.42463168732857526,0.17690723941303196,3,-0.07958238073724921,49,-0.12037829324218968,7,-0.08903772724183638,3,-0.09582314315400019,True,True,,False,rejected:half-stable
sse/880877,sse/880721,sse/880877 户数减少,sse/880721 北上重仓,1241,0.6783356329348097,20,-0.15444569459396906,0.45342756297487974,0.6364372654391613,1,-0.07955171305063428,28,-0.08558987120564038,19,-0.07947855753236893,1,-0.08905682344429176,False,True,,False,rejected:not_stable_not_significant
