a,b,k_signed,d_signed,k_absmax,d_absmax,overlap_days,a_name,b_name
sse/000001,sse/880778,60,0.10253831788808943,60,0.10253831788808943,1486,sse/000001 上证综指,sse/880778 次新预增
sse/000001,sse/880779,60,0.1731645090256123,60,0.1731645090256123,1682,sse/000001 上证综指,sse/880779 高融资盘
sse/000001,sse/880780,60,0.14674291341587473,60,0.14674291341587473,1682,sse/000001 上证综指,sse/880780 融资增加
sse/000001,sse/880781,60,0.06998956437099568,60,0.06998956437099568,1678,sse/000001 上证综指,sse/880781 QFII新进
sse/000001,sse/880782,60,0.15424389190450033,60,0.15424389190450033,1678,sse/000001 上证综指,sse/880782 保险新进
sse/000001,sse/880783,60,0.1487429362944246,60,0.1487429362944246,1678,sse/000001 上证综指,sse/880783 社保新进
sse/000001,sse/880784,1,-0.004395138198744986,60,0.31637757299877295,1651,sse/000001 上证综指,sse/880784 昨日较弱
sse/000001,sse/880785,60,0.12121479343423414,60,0.12121479343423414,1659,sse/000001 上证综指,sse/880785 最近多板
sse/000001,sse/880786,39,0.014880106282198602,39,0.014880106282198602,1648,sse/000001 上证综指,sse/880786 海外业务
sse/000001,sse/880787,1,-0.001535590349021232,60,0.1442491704068381,1648,sse/000001 上证综指,sse/880787 高商誉
sse/000001,sse/880790,60,0.11680986370852203,60,0.11680986370852203,1648,sse/000001 上证综指,sse/880790 高负债率
sse/000001,sse/880970,60,0.06216175974346516,60,0.06216175974346516,1600,sse/000001 上证综指,sse/880970 分拆上市预期
sse/000001,sse/880792,60,0.20541997221280778,60,0.20541997221280778,1589,sse/000001 上证综指,sse/880792 基金增仓
sse/000001,sse/880793,60,0.13270810140794398,60,0.13270810140794398,1589,sse/000001 上证综指,sse/880793 基金减仓
sse/000001,sse/880770,17,0.01825874689689211,17,0.01825874689689211,1521,sse/000001 上证综指,sse/880770 昨日上榜
sse/000001,sse/880769,1,-0.0005519660196587894,60,0.06476512250518263,1435,sse/000001 上证综指,sse/880769 股权集中
sse/000001,sse/880789,60,0.32790842389502556,60,0.32790842389502556,1354,sse/000001 上证综指,sse/880789 昨成交20
sse/000001,sse/880822,2,0.00010445924820012831,60,0.06811773669118992,1341,sse/000001 上证综指,sse/880822 昨收活跃
sse/000001,sse/880825,1,-0.0005536515609340098,60,0.2168261070717088,940,sse/000001 上证综指,sse/880825 预计转亏
sse/000001,sse/880898,8,0.008586307918705405,60,0.042334974372658096,1258,sse/000001 上证综指,sse/880898 近已解禁
sse/000001,sse/880721,1,-0.0016888191927857399,60,0.08263108749577819,1241,sse/000001 上证综指,sse/880721 北上重仓
sse/000001,sse/880723,60,0.3698695296589355,60,0.3698695296589355,1221,sse/000001 上证综指,sse/880723 发可转债
sse/000001,sse/880735,60,0.2715170638334543,60,0.2715170638334543,1206,sse/000001 上证综指,sse/880735 专精特新
sse/000001,sse/880751,18,0.013851460807956226,60,0.08557143721602653,1163,sse/000001 上证综指,sse/880751 昨日跌停
sse/000001,sse/880752,60,0.057983005217682175,60,0.057983005217682175,1171,sse/000001 上证综指,sse/880752 昨曾跌停
sse/000001,sse/880756,60,0.4340728473618207,60,0.4340728473618207,1146,sse/000001 上证综指,sse/880756 机构吸筹
sse/000001,sse/880603,60,0.30690774180990976,60,0.30690774180990976,1086,sse/000001 上证综指,sse/880603 新进指标股
sse/000001,sse/880081,1,-0.0006600393639584201,60,0.03500055875902508,1058,sse/000001 上证综指,sse/880081 轮动趋势
sse/000001,sse/880082,8,0.011787243225723554,60,0.09720407390144004,1058,sse/000001 上证综指,sse/880082 板块趋势
sse/000001,sse/880619,1,-0.0007114087937053482,60,0.054119291360178456,1044,sse/000001 上证综指,sse/880619 业绩预增
sse/000001,sse/880620,1,-0.0031795949388947475,50,0.03191775700607857,1042,sse/000001 上证综指,sse/880620 券商金股
sse/000001,sse/880622,48,0.011848927797820985,48,0.011848927797820985,1037,sse/000001 上证综指,sse/880622 破增发价
sse/000001,sse/880818,60,0.3528985547197324,60,0.3528985547197324,1005,sse/000001 上证综指,sse/880818 通达信热股
sse/000001,sse/880640,60,0.05627312106571458,60,0.05627312106571458,919,sse/000001 上证综指,sse/880640 历史新高
sse/000001,sse/880641,60,0.07182484586627397,60,0.07182484586627397,670,sse/000001 上证综指,sse/880641 历史新低
sse/000001,sse/880676,1,-0.0014239973885853408,60,0.027512924187684806,731,sse/000001 上证综指,sse/880676 活跃ETF
sse/000001,sse/880677,60,0.6035190197857763,60,0.6035190197857763,731,sse/000001 上证综指,sse/880677 活跃可转债
sse/000012,sse/880301,60,0.015265137727572431,60,0.015265137727572431,4750,sse/000012 国债指数,sse/880301 煤炭
sse/000012,sse/880305,60,0.010018408005392332,60,0.010018408005392332,4750,sse/000012 国债指数,sse/880305 电力
sse/000012,sse/880310,60,0.046196569235475715,60,0.046196569235475715,4750,sse/000012 国债指数,sse/880310 石油
