x,x_name,overlap_days,dir,k*,d(k*),r0_ret,k20,d(k20),half_stable,raw_d@k*,raw_k*
sse/880852,sse/880852 参股新股,2934,X_leads_mic,1,-0.04494253898604653,0.75395686591102,1,-0.04494253898604653,True,-0.0002631500502583428,60
sse/880887,sse/880887 次新超跌,2082,X_leads_mic,11,-0.04493076366127106,0.8156429102948584,11,-0.04493076366127106,True,-0.0005628914298672488,60
sse/880430,sse/880430 航空,4749,mic_leads_X,28,0.044923007591179585,0.6994915204542062,5,-0.04454755628884302,True,-0.01094639900130645,34
sse/880455,sse/880455 供气供热,4749,mic_leads_X,18,0.04430577536362462,0.7952635687739944,18,0.04430577536362462,True,0.009737219491849268,60
sse/880708,sse/880708 台资背景,1761,mic_leads_X,46,0.043462927939555626,0.7349604257463384,7,-0.04057669735654557,True,0.04356347917222869,60
sse/880892,sse/880892 高质押股,2034,X_leads_mic,11,-0.043245236692121436,0.8135599501892588,11,-0.043245236692121436,True,0.042857194915226146,60
sse/880889,sse/880889 不活跃股,1994,X_leads_mic,2,-0.04313523830654473,0.8771739638826066,2,-0.04313523830654473,False,-0.0023424271873344615,60
sse/880482,sse/880482 房地产,4749,X_leads_mic,2,-0.04191992494269109,0.7471038261165058,2,-0.04191992494269109,True,-0.0016226298113859172,60
sse/880456,sse/880456 环境保护,4749,X_leads_mic,1,-0.04148592907212875,0.8427484313028409,1,-0.04148592907212875,True,0.00012235788325667268,60
sse/880301,sse/880301 煤炭,4749,mic_leads_X,36,0.04062606798323031,0.5869363293039133,20,0.03324498866028821,True,0.015075603368194912,60
sse/880305,sse/880305 电力,4749,mic_leads_X,10,0.040273090464483866,0.7077493406428707,10,0.040273090464483866,True,0.0022118142457423495,60
sse/880474,sse/880474 多元金融,4749,mic_leads_X,18,0.03992960624200422,0.6956488978463194,18,0.03992960624200422,True,-0.007881937039715747,36
sse/880702,sse/880702 壳资源,1877,mic_leads_X,2,0.03968872223582502,0.9340535272852111,2,0.03968872223582502,True,-0.0004218943975143885,60
sse/880490,sse/880490 通信设备,4749,X_leads_mic,34,-0.03933005160386277,0.7700743084277907,3,-0.02526228987818754,True,0.04936464820904596,60
sse/880827,sse/880827 高市净率,4749,X_leads_mic,1,-0.03924167769199255,0.7477007575015938,1,-0.03924167769199255,True,0.0012460333403581103,60
szse/399101,szse/399101 中小板综指,4749,X_leads_mic,2,-0.03916137669682848,0.8965008643522994,2,-0.03916137669682848,True,0.0006139957990537459,60
sse/880465,sse/880465 交通设施,4749,X_leads_mic,42,-0.03819004351042775,0.7585570535764351,2,-0.03664886744571603,True,-0.01762076634116383,46
sse/880421,sse/880421 广告包装,4749,X_leads_mic,1,-0.03757883972918259,0.8611445471859138,1,-0.03757883972918259,True,-0.0004507905789311595,60
sse/880576,sse/880576 重组股,3334,mic_leads_X,30,0.03746492166767094,0.804582462797091,2,-0.03639406274699647,True,0.02219915365283967,60
